TYPEG;VARIANCE;NB_OBJ;NB_SRC;NB_FL;NB_FU;NBF;TRUST;SF;OF;TRUTH;INTERVAL:65-69/70-74/75-79/80-84/85-89/90-94/;TDP_80-80
cpr;100;10;10;2;2;20;69;0,3,5,6,8,10,13,14,17,19-0,2,4,6,9,11,13,15,17,19-0,2,4,7,9,10,13,14,16,19-1,2,5,6,8,10,13,15,17,19-0,2,4,7,8,10,12,14,17,19-0,2,4,6,9,10,12,14,17,19-0,2,5,6,9,10,13,14,17,18-0,3,4,7,8,10,13,14,16,19-0,3,5,7,8,10,12,15,17,19-0,2,4,7,9,11,12,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-7-8-10-13-14-17-19;;
cpr;100;10;10;2;2;20;68;1,2,5,6,9,10,13,15,16,19-0,3,5,7,8,11,13,14,17,19-0,2,5,7,8,10,13,15,16,18-0,2,4,7,9,11,13,14,16,19-1,2,4,7,8,10,12,15,16,18-1,2,5,6,8,11,13,15,17,19-0,2,4,7,8,10,12,14,16,18-0,3,5,6,8,11,13,15,16,18-0,2,5,6,8,11,13,15,16,19-1,2,5,7,8,10,13,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-7-8-10-13-15-16-19;;
cpr;100;10;10;2;2;20;69;1,3,4,6,8,11,12,14,17,19-0,3,5,6,8,11,12,14,16,18-0,2,5,6,8,11,12,14,16,19-1,3,4,7,8,10,12,14,17,18-1,3,5,6,9,10,12,14,16,19-0,3,4,7,9,10,12,14,17,18-0,3,5,6,9,10,13,14,16,19-0,3,4,6,8,10,13,14,16,19-0,3,4,7,8,10,12,15,16,19-0,3,5,6,8,10,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-6-8-10-12-14-17-19;;
cpr;100;10;10;2;2;20;69;0,2,5,7,9,10,12,15,17,18-0,2,4,6,8,10,12,15,16,18-0,2,4,6,8,11,12,15,16,19-1,2,5,7,9,10,12,15,16,19-1,2,4,6,9,11,13,15,16,19-1,2,5,6,9,10,13,15,16,18-1,2,4,6,9,11,13,14,16,18-0,3,5,6,9,10,12,14,16,19-0,2,4,6,8,10,13,15,16,18-0,3,4,7,9,10,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-6-9-10-12-15-16-18;;
cpr;100;10;10;2;2;20;66;0,2,5,7,9,11,13,15,16,18-0,2,4,7,8,10,13,14,16,19-1,3,4,6,9,10,13,15,17,18-0,2,4,7,9,10,13,14,16,19-0,2,4,7,8,10,12,15,16,18-1,2,4,7,9,11,13,14,16,19-0,2,5,7,8,10,13,15,17,18-0,2,4,6,9,10,12,15,17,19-1,2,5,7,9,10,13,15,17,18-0,2,4,6,9,10,13,15,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-7-9-10-13-14-17-18;;
cpr;100;10;10;2;2;20;68;0,2,5,6,9,10,13,15,17,19-1,3,5,7,9,11,13,15,17,18-0,2,4,7,9,11,13,15,17,18-0,3,4,7,9,11,13,15,17,18-1,2,4,6,9,10,13,15,16,19-0,2,4,6,8,11,13,14,17,18-0,2,5,6,9,11,13,15,17,18-0,3,4,6,9,11,13,14,17,19-1,2,4,7,9,10,12,14,17,19-1,3,4,7,9,11,13,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-7-9-11-13-15-17-19;;
cpr;100;10;10;2;2;20;68;0,3,4,7,9,11,13,15,17,19-0,3,4,6,9,11,13,15,17,18-0,2,5,6,8,11,12,14,17,19-0,3,4,6,8,10,12,14,17,19-0,2,4,6,9,11,13,15,17,19-1,3,5,7,8,11,13,15,16,19-1,3,5,6,8,11,12,15,17,19-0,2,4,6,8,11,13,15,17,18-0,3,4,7,8,11,12,14,17,18-0,3,4,7,8,10,12,15,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-4-7-8-11-12-15-17-19;;
cpr;100;10;10;2;2;20;69;1,3,4,6,8,10,12,14,17,19-0,3,4,7,9,10,13,15,17,19-1,3,4,7,8,11,12,15,17,19-0,2,5,7,9,10,13,15,16,19-0,3,4,6,9,10,12,14,16,18-0,3,4,7,8,10,13,15,17,19-1,3,4,6,9,10,13,15,16,19-1,3,4,7,8,10,12,15,16,19-0,3,5,6,9,10,12,15,16,19-1,3,4,6,8,10,12,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-4-7-8-10-12-15-16-19;;
cpr;100;10;10;2;2;20;69;1,2,4,7,9,11,13,15,16,18-0,3,5,6,9,10,12,14,17,18-1,2,4,7,9,11,13,14,17,19-1,3,4,7,9,11,13,15,17,18-1,2,4,6,9,11,13,15,17,18-1,2,4,7,9,10,13,14,17,19-0,3,4,7,8,11,13,14,16,18-1,3,4,7,9,10,13,14,17,18-1,3,4,6,9,10,12,15,17,19-0,2,4,6,8,10,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-4-7-9-10-13-14-17-18;;
cpr;100;10;10;2;2;20;67;1,2,4,6,8,10,13,15,17,19-0,3,4,6,9,10,12,15,17,18-1,3,5,6,9,10,12,15,16,18-1,3,4,7,9,10,12,15,16,19-1,2,4,6,9,10,13,15,17,19-1,2,4,7,8,10,13,15,17,18-1,3,4,6,8,11,12,14,16,19-0,2,5,6,8,10,12,15,16,18-1,2,4,7,8,10,12,14,16,18-0,2,5,6,8,10,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-6-8-10-12-15-16-18;;
cpr;100;10;10;2;2;20;69;1,2,5,7,8,11,12,14,17,18-0,3,5,7,9,10,13,14,16,19-0,3,5,7,9,10,13,14,17,19-1,2,4,7,9,10,12,14,16,18-0,2,4,7,9,10,13,14,16,19-1,2,4,7,8,10,13,14,17,19-1,2,4,7,8,11,13,15,16,18-1,2,5,7,8,10,12,14,16,19-0,2,5,6,8,10,12,15,16,19-1,3,5,7,8,11,13,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-7-8-10-13-14-16-19;;
cpr;100;10;10;2;2;20;65;1,2,4,7,8,11,12,14,17,18-0,2,5,6,8,10,12,14,16,18-0,2,5,7,8,10,13,15,17,19-1,2,4,7,9,10,12,15,16,18-0,3,4,7,8,11,12,14,17,18-1,2,4,6,8,11,12,14,16,18-1,2,5,6,8,11,12,15,17,18-0,2,4,7,9,10,12,15,17,19-1,2,4,6,9,11,12,15,17,18-1,2,4,7,9,10,12,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-6-8-10-12-15-17-18;;
cpr;100;10;10;2;2;20;67;0,2,4,7,9,11,13,15,17,19-0,3,5,6,9,11,12,15,17,19-1,2,5,7,8,10,12,15,17,19-0,2,4,7,8,11,13,15,17,19-1,2,5,6,9,11,12,15,16,18-1,3,4,7,9,11,12,14,17,19-1,2,5,7,9,11,13,14,17,18-1,2,4,7,8,10,13,14,17,19-1,2,5,7,8,10,12,15,17,19-1,2,4,7,8,10,12,15,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-7-8-11-12-15-17-19;;
cpr;100;10;10;2;2;20;67;1,3,4,6,8,11,12,14,17,19-1,2,5,6,8,11,12,15,17,19-1,2,5,6,8,10,13,14,17,19-1,2,4,7,9,10,13,14,17,19-1,3,4,6,8,10,13,14,16,19-1,3,5,6,9,10,13,15,17,19-1,2,5,6,9,10,12,14,17,18-1,2,5,7,9,10,13,14,17,18-1,3,4,7,8,10,12,15,17,19-1,2,4,7,9,11,12,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-6-9-10-12-14-17-19;;
cpr;100;10;10;2;2;20;69;1,3,5,6,9,11,12,14,17,19-1,2,5,7,8,11,13,14,16,18-0,2,5,7,8,11,12,15,17,18-0,3,5,6,8,10,12,14,16,19-0,2,5,7,9,11,12,15,16,19-1,2,5,7,8,10,13,14,16,19-1,2,5,7,8,10,12,14,17,18-0,2,5,7,8,11,12,14,16,19-0,2,4,6,8,11,12,14,17,19-1,2,5,6,8,11,13,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-7-8-11-12-14-17-19;;
cpr;100;10;10;2;2;20;66;1,2,4,7,9,10,12,14,16,18-1,2,4,6,9,11,13,14,16,19-1,3,5,6,9,11,13,15,17,19-1,3,4,6,9,11,13,15,16,18-1,2,5,6,8,11,12,15,17,18-1,2,5,7,9,11,12,14,16,18-1,3,5,6,9,10,13,15,16,18-0,2,5,6,9,10,13,15,16,19-0,2,4,7,8,11,13,15,17,18-1,3,4,6,8,11,13,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-6-9-11-13-15-16-18;;
cpr;100;10;10;2;2;20;67;1,3,5,6,9,10,13,15,16,19-1,2,4,7,8,11,13,14,17,19-1,3,5,6,9,10,13,14,17,18-1,2,5,6,8,11,13,15,17,19-1,2,5,7,9,10,13,15,17,19-0,2,5,7,9,10,13,15,16,19-0,3,4,6,8,10,12,15,17,19-1,2,5,6,8,11,12,14,17,18-1,2,5,7,9,10,13,14,16,19-0,3,5,6,8,11,13,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-6-8-10-13-15-17-19;;
cpr;100;10;10;2;2;20;69;1,2,4,7,8,11,13,14,17,18-0,2,4,7,9,11,12,15,17,19-1,2,4,7,8,10,13,14,17,18-1,2,5,7,9,11,12,14,17,18-0,2,5,7,9,10,13,15,16,18-0,2,4,7,8,11,13,15,17,18-1,2,5,6,9,11,13,15,16,19-1,2,4,6,8,11,13,15,16,18-0,3,4,6,9,11,13,15,17,18-1,2,4,7,9,11,13,15,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-7-9-11-13-15-16-18;;
cpr;100;10;10;2;2;20;69;0,2,5,7,8,10,13,14,17,18-1,3,5,7,9,10,13,14,16,18-0,2,5,7,9,11,12,14,16,18-1,3,5,7,8,11,12,15,16,18-0,2,5,6,8,10,13,14,16,18-1,2,4,6,8,10,12,14,16,18-1,3,4,7,8,11,12,14,16,18-1,3,5,7,8,10,12,14,17,19-0,2,5,7,9,10,12,14,17,19-0,3,5,7,8,10,12,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-7-8-10-12-14-16-18;;
cpr;100;10;10;2;2;20;66;0,3,4,6,8,10,12,14,17,18-1,3,4,7,9,11,12,15,17,18-1,3,5,7,9,10,12,14,17,19-1,3,4,6,8,10,12,15,16,18-0,3,4,7,8,10,13,15,16,19-0,2,5,7,9,10,13,15,17,18-0,3,5,7,9,11,13,15,16,18-0,3,5,7,9,11,12,15,17,18-0,3,5,6,8,10,12,15,17,19-1,3,4,7,8,10,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-4-7-9-10-12-15-17-18;;
cpr;100;10;10;2;2;20;68;0,3,5,6,8,11,13,14,16,18-0,2,5,7,8,10,13,15,17,19-1,3,5,6,8,11,13,15,17,19-1,2,5,6,8,10,13,14,17,19-0,3,5,7,8,10,12,15,17,18-0,2,4,7,8,10,13,15,17,18-1,2,5,7,8,10,12,14,17,19-1,2,5,7,9,10,12,14,17,18-1,3,4,7,8,10,13,15,17,18-0,3,5,7,8,11,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-5-7-8-10-13-14-17-18;;
cpr;100;10;10;2;2;20;69;0,3,4,6,9,11,12,15,16,19-1,3,4,6,9,11,13,15,16,19-0,2,4,6,9,11,12,15,16,19-1,3,5,6,9,11,12,14,16,18-0,2,4,6,9,11,12,14,16,18-0,2,5,7,8,11,12,15,17,18-0,3,5,6,8,11,13,14,16,19-0,3,4,6,8,11,12,15,16,18-1,3,5,6,8,11,13,15,17,18-1,3,5,6,8,11,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-4-6-8-11-12-15-16-18;;
cpr;100;10;10;2;2;20;68;1,3,4,7,8,10,12,14,16,18-1,3,4,6,8,11,12,15,17,18-1,2,4,7,8,11,12,14,16,18-1,2,4,7,8,11,12,15,16,18-0,3,4,6,9,10,12,15,16,19-0,3,4,7,8,10,12,15,16,19-1,2,4,7,8,11,13,14,16,18-0,3,5,6,8,11,13,14,16,18-0,3,4,7,9,11,12,15,17,18-1,3,4,7,8,10,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-4-6-8-11-12-15-16-18;;
cpr;100;10;10;2;2;20;69;1,2,5,6,8,11,13,15,16,18-1,3,5,6,9,11,13,15,16,18-1,2,5,7,8,11,12,14,16,18-0,2,5,7,8,10,12,15,16,18-1,2,4,6,9,10,12,15,16,18-1,2,5,7,9,10,13,14,16,18-1,2,5,7,8,11,12,15,17,18-1,3,5,6,8,11,12,14,16,19-1,2,5,7,8,10,13,14,16,18-1,2,5,7,8,11,12,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-7-9-11-12-14-16-18;;
cpr;100;10;10;2;2;20;69;0,3,5,6,8,11,12,14,16,19-1,2,4,6,8,11,13,14,16,18-1,2,5,6,8,11,12,14,17,18-0,3,5,6,8,10,13,14,16,18-0,3,5,6,9,10,12,15,16,18-0,2,4,7,8,11,12,14,16,19-0,2,5,7,9,11,13,14,16,18-1,2,5,7,9,11,12,15,17,18-1,2,4,6,9,11,13,14,16,19-0,2,5,6,9,11,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-6-9-11-12-14-16-18;;
cpr;100;10;10;2;2;20;68;1,2,5,6,8,11,12,15,16,19-0,2,5,6,8,11,13,14,17,18-0,2,4,6,9,11,12,14,16,19-0,2,4,7,9,11,12,14,16,18-0,2,5,7,9,10,12,15,16,19-0,2,5,6,8,11,12,15,17,18-0,2,5,6,8,10,12,14,16,18-0,3,4,6,8,11,12,14,16,19-0,3,5,6,8,10,13,14,16,19-0,2,5,6,8,10,13,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-5-6-9-11-12-14-16-19;;
cpr;100;10;10;2;2;20;68;0,2,4,6,8,11,13,15,16,18-1,2,5,7,8,10,12,15,16,18-0,3,5,7,9,11,12,15,16,18-1,2,4,6,9,11,12,15,16,18-1,2,4,7,9,11,13,14,17,18-1,2,4,7,8,11,12,15,17,19-0,3,5,7,9,11,12,14,16,18-0,3,4,7,9,10,12,15,16,18-1,3,5,7,9,10,12,14,16,18-0,3,4,7,9,11,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-4-7-9-11-12-15-16-18;;
cpr;100;10;10;2;2;20;69;0,3,4,7,8,11,13,14,16,19-0,3,5,7,8,11,12,14,17,19-0,3,5,7,8,11,13,14,16,19-0,3,5,7,9,11,13,14,17,19-0,3,4,6,8,10,13,14,17,18-1,2,5,7,8,11,13,15,17,18-0,2,5,6,8,10,13,15,16,18-0,3,5,7,8,10,12,15,17,18-1,2,5,7,8,11,12,14,17,18-1,3,5,7,9,10,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-7-8-10-13-14-17-18;;
cpr;100;10;10;2;2;20;69;1,3,5,6,8,11,12,14,16,19-0,3,5,6,9,11,13,14,17,19-1,3,4,6,8,11,12,15,17,19-1,3,4,6,8,10,13,14,16,18-0,2,4,6,8,10,13,15,17,19-1,3,5,6,8,10,12,15,16,19-1,3,4,7,8,11,12,15,16,18-1,3,4,7,8,11,13,15,17,19-1,2,5,6,8,11,13,15,16,19-0,2,4,6,8,11,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-4-6-8-11-13-15-17-19;;
cpr;100;10;10;2;2;20;69;0,3,4,6,9,10,12,15,17,18-1,3,5,6,9,11,12,15,16,18-1,2,5,6,9,10,12,15,17,18-0,3,5,6,9,10,12,14,17,19-0,3,5,6,9,10,13,15,17,18-1,2,5,7,9,10,13,14,16,18-1,2,4,6,9,10,12,14,16,18-1,2,5,6,9,11,12,14,16,18-0,2,5,7,9,11,12,14,16,18-0,2,5,7,9,11,12,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-6-9-10-12-14-17-18;;
cpr;100;10;10;2;2;20;65;1,2,5,7,9,10,12,15,16,19-1,3,5,7,8,10,12,15,17,19-1,3,4,7,9,10,12,15,17,19-1,2,5,6,8,11,13,14,16,19-1,2,5,7,9,11,13,15,16,19-1,2,5,7,9,10,12,14,16,18-1,2,5,6,8,10,12,14,17,19-1,3,5,6,9,11,12,15,17,18-1,3,5,7,8,10,12,14,17,19-1,2,5,6,9,11,13,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-7-9-11-12-14-17-19;;
cpr;100;10;10;2;2;20;69;0,3,4,6,8,10,12,14,17,18-0,2,4,6,9,10,13,15,16,18-1,3,5,6,9,10,12,14,17,19-0,2,5,6,9,11,13,14,16,19-0,2,4,6,8,11,13,14,16,18-1,2,4,7,9,10,13,15,17,19-0,2,4,6,8,11,13,14,17,19-1,2,4,7,8,10,13,14,17,19-1,2,4,6,9,10,13,14,17,19-0,3,4,6,8,10,12,14,16,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-2-4-6-9-10-13-14-17-19;;
cpr;100;10;10;2;2;20;69;0,2,5,6,9,11,12,15,16,18-0,3,4,7,9,11,13,15,17,18-0,3,5,6,9,11,12,14,17,18-0,3,4,6,9,11,12,15,17,19-1,3,4,6,9,11,12,15,16,18-0,2,5,6,8,10,12,14,16,18-1,3,4,7,8,11,12,15,16,18-1,3,4,6,9,11,12,14,17,18-1,3,4,6,9,10,13,15,16,18-1,3,5,6,8,11,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-6-9-11-12-15-16-18;;
cpr;100;10;10;2;2;20;69;1,3,4,7,9,11,12,15,17,18-1,3,4,7,8,10,12,14,16,18-1,3,4,6,9,11,13,14,17,19-0,2,4,7,9,11,13,14,16,18-1,2,5,7,8,11,12,15,16,18-0,3,5,6,9,11,13,14,16,18-1,3,4,7,8,11,13,14,16,18-1,2,4,6,8,11,13,15,16,18-0,2,4,7,8,10,13,14,17,18-1,2,4,7,8,10,12,14,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-4-7-8-11-13-14-16-18;;
cpr;100;10;10;2;2;20;68;0,3,5,7,9,11,13,14,17,18-0,2,5,6,9,10,13,14,16,18-0,3,5,6,8,11,13,14,16,18-0,3,5,6,8,10,13,14,16,19-0,3,5,6,8,10,12,15,16,18-1,2,5,6,8,10,12,14,17,19-0,3,5,7,8,10,12,15,16,18-1,3,5,6,9,10,13,14,16,18-0,3,4,6,9,10,12,14,17,18-0,2,5,7,8,11,12,14,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-6-8-10-12-14-17-18;;
cpr;100;10;10;2;2;20;68;1,3,5,7,8,11,12,15,16,18-1,2,5,7,8,11,12,15,17,18-0,3,5,6,8,10,13,14,16,18-1,3,5,7,8,10,12,14,16,19-1,3,5,7,8,11,12,15,17,18-1,3,4,7,9,10,12,14,17,18-0,3,5,6,8,10,12,15,17,18-0,2,5,6,9,10,12,15,17,19-0,3,4,7,8,11,12,14,17,18-1,3,4,6,8,10,12,15,17,19;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-7-8-10-12-15-17-18;;
cpr;100;10;10;2;2;20;68;1,3,4,7,8,10,12,14,17,19-0,3,5,7,9,10,12,14,16,19-1,3,5,7,8,11,12,14,16,18-0,3,5,7,9,11,12,14,16,18-0,3,4,7,9,10,13,14,16,19-1,3,4,6,8,10,12,14,16,18-1,2,4,6,9,10,12,14,16,19-1,3,4,7,8,10,13,14,17,19-0,3,4,7,9,11,12,14,16,19-1,3,4,7,9,11,12,15,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-3-4-7-8-10-12-14-16-18;;
cpr;100;10;10;2;2;20;69;0,2,5,6,8,11,13,14,17,19-0,2,5,6,9,10,12,15,17,19-0,3,5,6,9,10,13,14,17,18-0,3,4,6,9,11,13,15,17,19-1,3,5,6,8,10,13,14,17,19-0,2,5,7,9,10,13,14,17,19-0,3,4,6,9,10,12,14,17,18-0,3,5,6,9,11,12,15,17,18-0,2,4,6,9,11,12,14,16,19-1,3,5,6,8,10,13,14,17,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;0-3-5-6-9-11-13-14-17-19;;
cpr;100;10;10;2;2;20;66;1,2,4,6,9,11,12,14,17,19-1,3,5,7,8,10,12,15,17,19-0,3,5,7,8,11,12,14,17,18-0,3,5,7,8,10,12,14,17,18-1,3,4,6,8,10,12,15,17,18-1,2,5,7,8,10,12,14,17,18-1,3,4,7,9,10,12,14,17,18-0,2,5,6,8,11,12,15,17,18-1,2,5,7,9,11,13,14,17,18-1,2,5,6,9,11,12,15,16,18;0,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19;1-2-5-6-8-10-12-14-17-18;;
